actor,avg_movie_rating,avg_votes_per_movie,total_movies,rating_std_dev,high_rated_movie_count,career_span,recent_avg_rating,is_rating_std_dev_missing,is_recent_avg_rating_missing
nm0045891,5.199999809265137,31.33333333333333,3,0.8660254037844386,0,22,5.199999809265137,0,1
nm0428618,5.949999984941985,23669.236842105263,39,0.994511965963996,1,51,5.949999984941985,0,1
nm0844045,5.619999980926513,34.2,7,0.6760177202103071,0,55,5.619999980926513,0,1
nm0465450,6.224999994039536,190.65625,33,0.7914869983679592,0,59,6.224999994039536,0,1
nm0555823,6.551999969482422,79.4,33,0.8520172073025193,0,58,6.551999969482422,0,1
nm0052852,5.866666687859429,1319.6666666666667,9,0.5634713573865603,0,18,5.866666687859429,0,1
nm0021004,5.871428659984043,3360.1428571428573,7,1.2919162558910977,0,29,5.871428659984043,0,1
nm0470881,6.061904816400437,104.9047619047619,22,0.8009220945332839,0,43,6.061904816400437,0,1
nm0310989,6.105882336111629,1735.470588235294,17,0.4643148265501202,0,13,6.105882336111629,0,1
nm0314584,7.085714340209961,705.4285714285714,7,0.4775931374546039,0,13,7.085714340209961,0,1
nm0248811,6.824999928474426,2908.25,4,0.4112986149214752,0,8,6.824999928474426,0,1
nm0818025,6.08571423803057,1034.2142857142858,17,0.7644576913388162,0,28,6.08571423803057,0,1
nm0908419,5.957142841248285,1581.904761904762,32,0.9526654484680506,0,26,5.957142841248285,0,1
nm0001066,5.7571428673607965,9279.785714285714,15,0.8290071007767135,0,44,5.7571428673607965,0,1
nm0299831,5.682608692542367,85.78260869565217,35,1.9940028608411149,1,37,5.682608692542367,0,1
nm0335878,6.5428571701049805,6011.714285714285,7,0.8423324801232972,1,22,6.5428571701049805,0,1
nm0381643,6.290909116918391,99.54545454545456,13,0.6122981859691438,0,43,6.290909116918391,0,1
nm0833152,6.015384600712703,18481.615384615383,13,1.066806903642953,0,39,6.015384600712703,0,1
nm0678185,7.126315769396331,82.15789473684211,25,0.9415365885580156,4,34,7.126315769396331,0,1
nm0801704,5.179999923706054,129.5,10,1.1839669489643625,0,16,5.179999923706054,0,1
nm0099429,7.0,17599.125,8,0.5879746696458442,0,18,7.0,0,1
