tconst,director_id,director_score
tt10091272,nm13252949,2.8190719944335347
tt10091630,nm3932134,5.300826862246189
tt10092170,nm3019034,6.100318033870356
tt10092362,nm7500996,8.798601989003783
tt10092698,nm2202596,4.3014625403154465
tt10092698,nm2753152,4.3014625403154465
tt10092752,nm2182866,4.8677687670269805
tt10093594,nm0349484,5.001017315486593
tt10094388,nm0868650,4.701207887860509
tt10095262,nm8900560,7.499428179880202
tt10095308,nm4822033,6.200254370756621
tt10095328,nm0201504,7.599364516766467
tt10095582,nm0001054,7.0996823558010975
tt10096114,nm8976437,8.398855688390636
tt10096236,nm1906390,9.398220010321374
tt10096842,nm0497563,4.601271550974244
tt10097312,nm3641208,6.600000433102749
tt10097346,nm7972509,6.500063857949461
tt10097362,nm1109126,4.951049206610216
tt10097384,nm1970591,6.133630305010459
tt10097442,nm0796102,6.100318033870356
tt10097470,nm0576606,8.598729315231253
tt10097484,nm2744255,5.100953711939614
tt10097958,nm1664102,5.20089004882588
tt10098042,nm8289467,5.500699536018719
tt10098048,nm0834088,8.099047154265882
tt10098048,nm13780924,8.099047154265882
tt10098288,nm3155648,4.3014625403154465
tt10098288,nm14255092,5.100953950206637
tt10098442,nm10073192,6.100318033870356
tt10098448,nm2296528,6.9997460189148315
tt10098448,nm3634546,7.0996823558010975
tt10098452,nm1616394,6.500063857949461
tt10100196,nm1658166,6.00038169698409
tt10100678,nm1778801,5.900445360097825
tt10100678,nm5282122,5.450731367575587
tt10101246,nm5642554,7.0996823558010975
tt10101702,nm2366527,6.7998733451423
tt10101702,nm2440538,6.7998733451423
tt10101702,nm1072856,6.7998733451423
tt10101806,nm1413776,6.749904938432146
tt10102080,nm1783656,6.500063857949461
tt10102402,nm10700391,6.400127521063196
tt10103028,nm6412518,4.901081038167083
tt10104502,nm9129354,6.300191025332249
tt10106082,nm5654268,6.600000194835727
tt10106394,nm0500596,7.499428179880202
tt10107222,nm5111029,6.500063857949461
tt10108708,nm7641690,7.899174003959308
tt10110022,nm0873608,4.601271550974244
tt10110614,nm3649532,6.3001911841769305
tt10110912,nm1672174,6.050349984560734
tt10111180,nm3235413,7.499428179880202
tt10111198,nm7135571,6.7998733451423
tt10111440,nm5928226,7.449459773170048
tt10112034,nm5636563,7.266243234967568
tt10115874,nm8377866,6.899809682028566
tt10116022,nm2347853,4.101589390008873
