director_id,director_experience,director_quality,director_total_votes
nm0159745,1,5.5,8172
nm4055347,3,4.333333333333333,88
nm10853587,1,5.400000095367432,8
nm4843792,1,5.099999904632568,829
nm4064532,2,7.349999904632568,773
nm1197959,1,5.5,334
nm6505027,1,7.400000095367432,6
nm4146381,1,6.699999809265137,1767
nm2859182,2,7.200000047683716,10219
nm5570594,1,7.0,13
nm6650310,1,5.099999904632568,142
nm5856154,1,3.0999999046325684,140
nm11726034,1,5.5,28
nm6086529,5,6.5,235
nm5503242,1,5.0,10
nm2800717,1,6.099999904632568,11590
nm3808286,1,7.199999809265137,112
nm3529697,4,7.774999976158142,855
nm3048920,1,6.199999809265137,48
nm0002191,2,6.200000047683716,99392
nm4272375,2,7.25,15
nm0188888,2,3.5,714
nm3942865,1,3.4000000953674316,360
nm11740626,1,6.400000095367432,6
nm0003328,4,5.725000023841858,475
nm8730362,1,2.4000000953674316,35
nm11741241,1,5.699999809265137,88
nm8430934,1,5.199999809265137,113
nm0969087,2,6.200000047683716,2398
nm5047940,2,6.549999952316284,17
nm7331176,1,4.699999809265137,72
nm3934959,3,6.933333396911621,3328
nm11750376,2,7.949999809265137,630
nm9907087,1,4.699999809265137,301
nm0569503,1,3.0999999046325684,175
nm0822854,1,7.099999904632568,10
nm5382471,2,7.3500001430511475,115
nm9142324,1,7.0,15
nm2721564,1,4.0,310
nm6548515,1,6.900000095367432,13
nm3790611,2,7.5,2408
nm1803098,1,7.599999904632568,9
nm0717424,4,5.699999988079071,89
nm8132285,2,6.6000001430511475,1187
nm10421835,10,5.560000014305115,639
nm4947083,2,7.3500001430511475,18
nm4285074,1,7.900000095367432,41
nm11780162,1,3.299999952316284,3992
nm3128396,1,3.299999952316284,904
nm9131949,1,5.5,87
nm1023549,6,5.383333285649617,802
nm7417319,1,8.0,15
nm2495268,1,5.5,270
nm1455707,4,6.774999976158142,1396
nm0002572,1,5.400000095367432,8420
nm4606462,1,5.699999809265137,258
nm10856255,1,2.700000047683716,148
nm11792460,1,8.199999809265137,7
nm0545027,1,7.599999904632568,12
nm9023573,1,7.699999809265137,6
nm3558314,1,6.5,473
nm11796535,2,5.3500001430511475,213
nm2112570,1,6.599999904632568,6615
nm10093798,1,7.699999809265137,7
nm11801318,1,5.800000190734863,119
nm0128687,1,5.599999904632568,386
nm8934095,1,8.5,2718
nm1263285,1,4.599999904632568,181
nm3701612,1,5.300000190734863,38107
nm6303360,2,5.3500001430511475,42
nm10056285,1,8.300000190734863,7
nm11815781,1,2.9000000953674316,10
nm9889569,1,5.199999809265137,51
nm11905759,1,7.0,69
nm10656050,1,4.599999904632568,736
nm0214230,1,7.199999809265137,7
nm3362184,3,5.4666666984558105,652
nm11342986,1,5.199999809265137,48
nm4819939,1,7.400000095367432,162
