tconst,primaryTitle,startYear,averageRating,numVotes,genre_score,movie_writer_quality,movie_actor_score,budget,director_quality,top_3_actor_scores
tt7428318,Dil Rakh: Gloves of Kin,2023,7.7,36,6.222950643159742,7.699999809265137,7.577418248531582,22449168.97011252,7.699999809265137,7034.333333333333
tt7428318,Dil Rakh: Gloves of Kin,2023,7.7,36,6.222950643159742,7.699999809265137,7.577418248531582,22449168.97011252,7.699999809265137,7034.333333333333
tt28298233,Sultana's Dream,2023,6.3,236,6.239013067302203,6.300000190734863,5.0,34526458.530681826,6.300000190734863,1226.0
tt19373584,9 Nights,2022,6.9,12,5.817166178420404,5.0,5.0,20969162.450643778,6.900000095367432,7005.0
tt8608144,The Club of Angels,2020,6.4,144,5.914761655885377,6.400000095367432,7.806818188841998,25531682.48902002,6.400000095367432,700.6666666666666
tt7379472,Invisible,2021,7.9,200,6.970123683505946,7.900000095367432,9.119257545274658,14853805.404607048,7.900000095367432,10993.0
tt30790971,Klaus & Barroso,2024,5.6,1354,5.885894239644082,5.98888882001241,7.429419109629931,28289376.5727412,5.824999928474426,5935.666666666667
tt14392398,Joy-The Feathers of Life,2022,8.6,6,6.222950643159742,8.475000143051147,10.146679650163382,22449168.97011252,8.600000381469727,638.6666666666666
tt27557561,The Snare,2025,9.0,43,5.790093740985721,9.0,9.468428917315851,26893064.153351128,9.0,11528.666666666666
tt21315862,Gunjal,2023,8.2,89,6.377660399015961,8.199999809265137,10.12690263235093,23822608.067406863,8.199999809265137,1505.6666666666667
tt16243192,Lakelands,2022,6.4,270,6.222950643159742,6.400000095367432,7.523651690810059,22449168.97011252,6.400000095367432,5614.666666666667
tt15743072,Raydio,2021,6.1,25,6.222950643159742,5.0,6.865624246148658,22449168.97011252,6.099999904632568,685.6666666666666
tt11212572,Nocebo,2022,5.8,8314,5.290933252022113,5.800000190734863,6.5163834643964975,22456305.679276817,5.300000031789144,760.3333333333334
tt29536966,Es por su bien,2024,5.3,153,5.885894239644082,5.42380952835083,6.406551334121164,28289376.5727412,4.900000095367432,8512.333333333334
tt15978740,Boxed In,2022,5.4,141,6.222950643159742,5.400000095367432,6.711197749461171,22449168.97011252,5.199999968210856,4608.666666666667
tt13070602,A Castle for Christmas,2021,5.6,16434,5.988298420687361,5.599999904632568,6.388712863969786,37980656.85234604,5.0,10321.333333333334
tt23713066,Zhanna,2022,6.9,59,6.222950643159742,6.111111111111111,7.1933710737719965,22449168.97011252,5.933333237965901,11989.0
tt8891560,Surprised by Oxford,2023,6.2,1146,6.042109039962235,6.199999809265137,6.799859403697309,22557470.47544072,6.199999809265137,6896.666666666667
tt21836592,Ivy + Bean: The Ghost That Had to Go,2022,5.6,283,6.034567232947673,5.822222206327649,6.57100984995785,38079569.80507808,5.950000047683716,6825.333333333333
tt31079476,Enthaa Kathe Maaraaya,2023,9.4,14,6.222950643159742,9.399999618530272,8.769151238086115,22449168.97011252,9.399999618530272,580.0
tt10680564,After the Gunflint,2022,7.2,8,5.856050379258259,7.199999809265137,7.033748067978008,63203425.0141844,7.199999809265137,3800.3333333333335
tt29194243,Promiscuously Toxic,2024,6.9,14,6.222950643159742,5.6636363809758965,7.596973007739065,22449168.97011252,6.114285673413958,12993.666666666666
tt21970718,Mrigja,2022,8.8,22,6.054422441401912,8.800000190734863,7.58252447503712,25369272.771426857,8.800000190734863,13000.0
tt29580631,Shadi Mein Zaroor Aana,2023,8.1,22,6.203095434705503,8.100000381469727,5.0,35159466.00376374,8.100000381469727,7317.666666666667
tt15373868,Kranti,2023,5.1,10697,5.975934499410236,5.099999904632568,7.050356989412756,37648644.93679237,5.099999904632568,6406.0
