tconst,main_cast_avg_movie_rating,main_cast_avg_votes_per_movie,main_cast_avg_total_movies,main_cast_avg_rating_std_dev,main_cast_avg_high_rated_movie_count,main_cast_avg_career_span,main_cast_avg_recent_avg_rating,supporting_cast_avg_movie_rating,supporting_cast_avg_votes_per_movie,supporting_cast_avg_total_movies,supporting_cast_avg_rating_std_dev,supporting_cast_avg_high_rated_movie_count,supporting_cast_avg_career_span,supporting_cast_avg_recent_avg_rating,movie_rating
tt6842770,6.239946991782355,120068.10795669619,30.666666666666668,0.8620628089525453,0.6666666666666666,20.333333333333332,6.627777777777777,6.175416662957932,24949.905555555557,31.25,0.7984314095594749,0.75,35.0,6.392500030994416,5.8
tt6851410,6.2546366157139355,25661.210944026734,25.333333333333332,0.7590381623635466,0.0,29.0,6.728888999091254,6.3151027067702685,761.7684407096172,15.0,0.7180374348228505,0.0,31.333333333333332,6.733333468437195,7.3
tt6874690,6.695526252294842,73023.92368421052,21.5,0.7783250213292408,1.0,25.0,6.2749998569488525,6.112723148081985,23074.31875,19.8,0.7461988847699824,0.4,38.0,6.242499852180481,6.2
tt7343800,4.477375194742291,789.1795491143317,21.0,1.533144461835935,0.6666666666666666,14.333333333333334,4.022051307482598,4.879383362227453,216.49389499389497,17.5,1.8211503277005545,1.25,14.25,4.700347244739533,2.5
tt7356476,5.67179375954811,34900.0546235891,50.333333333333336,1.0844406646702272,1.3333333333333333,36.666666666666664,5.518888902664185,5.57620429976918,14429.824869745931,26.857142857142858,1.210445508853665,1.1428571428571428,30.0,5.418627462801146,4.4
tt7363104,6.695614086954217,11475.719298245614,11.5,0.7226357974562414,0.5,8.5,6.782142843518939,6.226244828819207,7820.60659766299,24.428571428571427,1.2572463813549803,1.5714285714285714,19.142857142857142,6.887698381666154,7.1
tt7724288,6.599999904632568,17.0,3.0,0.9384930852792726,0.0,5.0,6.599999904632568,6.473931597848225,1091.6025641025642,7.666666666666667,0.8093223161554192,0.6666666666666666,10.666666666666666,6.566666603088379,6.6
tt8110330,6.983333465380547,54992.30769230769,10.666666666666666,1.484662298287392,3.6666666666666665,8.666666666666666,7.844444592793782,6.160052268487004,16582.150100229097,50.666666666666664,1.3920802634939689,4.666666666666667,28.833333333333332,6.461685227950414,8.3
tt8466970,7.399999936421712,30.0,5.0,1.682260310429004,2.0,10.0,7.099999904632568,5.349999904632568,84.0,3.0,0.2121321692258795,0.0,5.0,5.349999904632568,5.5
tt8696480,5.285416622956594,249.25347222222223,13.5,1.609598467190028,1.0,9.5,5.104999963442484,4.983333269755045,267.6666666666667,4.0,1.698812187639846,0.0,5.0,4.983333269755045,3.1
